"##features#size#min";"##characteristics#cpu#center";"##characteristics#cpu#halfrange"
1;0.001332;0.000114
2;0.0014015;0.0001855
3;0.001426;1.4e-05
4;0.0014395;2.75e-05
5;0.001526;9.1e-05
6;0.001591;0.000387
7;0.0016145;0.0001205
8;0.0016145;0.0001415
9;0.0016985;0.0001225
10;0.0016985;0.0001285
11;0.0017035;0.0001205
12;0.0017135;0.0001305
13;0.0017145;0.0001535
14;0.0017225;4.15e-05
15;0.001724;0.000313
16;0.0017375;1.35e-05
17;0.001758;0.000112
18;0.001765;0.00013
19;0.0017725;0.0001415
20;0.0018055;0.0001245
21;0.0018105;0.0001335
22;0.001816;0.000128
23;0.001819;0.000128
24;0.0018205;9.55e-05
25;0.001828;6.9e-05
26;0.001854;0.000124
27;0.0018875;0.0001205
28;0.001889;0.000168
29;0.0020255;0.0005915
30;0.0020625;1.75e-05
31;0.002071;3.4e-05
32;0.0020895;0.0003255
33;0.002116;0.000934
34;0.002123;1.8e-05
35;0.0021385;0.0001305
36;0.0021405;8.15e-05
37;0.002182;0.000126
38;0.0022045;0.0002015
39;0.002226;0.000125
40;0.0022565;0.0001335
41;0.002278;0.000144
42;0.0023595;0.0001905
43;0.002386;0.000135
44;0.002407;0.000993
45;0.0026355;0.0011675
46;0.0026405;0.0011445
47;0.002666;0.001088
48;0.002782;0.000151
49;0.0027875;0.0001585
50;0.002788;2.2e-05
51;0.002796;0.000143
52;0.0028325;0.0001945
53;0.0028355;0.0001425
54;0.002874;0.000155
55;0.002959;0.000165
56;0.002988;0.000158
57;0.0030075;0.0002205
58;0.003055;0.000141
59;0.0031145;0.0002035
60;0.003137;0.000155
61;0.003161;0.000219
62;0.003169;0.000184
63;0.0032035;0.0001435
64;0.0032405;0.0002255
65;0.003258;0.001002
66;0.0032805;0.0002025
67;0.0032865;0.0001515
68;0.003306;1.9e-05
69;0.0033105;2.45e-05
70;0.003354;0.000326
71;0.003361;0.000198
72;0.003451;0.000171
73;0.0034515;0.0012915
74;0.0034925;0.0003225
75;0.003511;0.000244
76;0.0035155;0.0005465
77;0.0036515;0.0004965
78;0.0037565;6.05e-05
79;0.0039535;0.0007265
80;0.00404;0.000806
81;0.0040485;3.15e-05
82;0.004058;0.000324
83;0.0040965;0.0002065
84;0.004211;0.000296
85;0.0043905;0.0013695
86;0.004477;0.001163
87;0.0044965;0.0005145
88;0.0045115;0.0005715
89;0.0047325;0.0029945
90;0.00483;0.000912
91;0.0055125;0.0016325
92;0.0089885;0.0049465
93;0.014809;0.000164
94;0.0148595;0.0001525
95;0.0153585;0.0016735
96;0.0176165;0.0001345
97;0.017639;8.5e-05
98;0.0177505;0.0001395
99;0.017872;0.000153
100;0.0180995;0.0001715
101;0.0181625;0.0001565
102;0.019292;0.000146
103;0.0195545;0.0003495
104;0.0197255;0.0002265
105;0.019881;0.006098
106;0.0202155;0.0001025
107;0.0202485;0.0001935
108;0.02099;9.8e-05
109;0.0210025;7.15e-05
110;0.0210085;3.45e-05
111;0.0211355;0.0002495
112;0.021139;0.000198
113;0.021344;0.000129
114;0.021568;0.000253
115;0.021649;0.000131
116;0.022063;9.7e-05
117;0.022096;0.000108
118;0.022173;0.000637
119;0.022334;7.7e-05
120;0.022397;0.00025
121;0.022558;0.000573
122;0.022561;0.000495
123;0.0228535;0.0030725
124;0.022912;0.001836
125;0.0231015;0.0001445
126;0.0234655;0.0005505
127;0.023493;6.9e-05
128;0.024156;0.000591
129;0.026295;0.000188
130;0.026433;0.000273
131;0.027535;0.000365
132;0.0279135;0.0001715
133;0.028027;5.5e-05
134;0.0280385;0.0002505
135;0.0282265;0.0003335
136;0.0283065;0.0005205
137;0.028458;0.000691
138;0.0289105;0.0001995
139;0.0290455;0.0017355
140;0.0294155;0.0006435
141;0.029559;0.00038
142;0.0301265;0.0008335
143;0.036018;0.000613
144;0.036044;0.000881
145;0.036463;0.001169
146;0.036595;0.000456
147;0.0366655;0.0002615
148;0.0374205;0.0023505
149;0.0385085;0.0004825
150;0.039882;0.000351
151;0.0403305;0.0003365
152;0.0404795;0.0002225
153;0.0412905;0.0014085
154;0.041718;0.000455
155;0.0418295;0.0002335
156;0.0421105;0.0001025
157;0.042351;0.000809
158;0.04239;0.000278
159;0.0424425;0.0002545
160;0.043449;0.000784
161;0.0436335;0.0003535
162;0.043797;0.000943
163;0.0440905;0.0003635
164;0.044149;0.002624
165;0.044235;0.000548
166;0.0446385;0.0025255
167;0.044805;0.000786
168;0.0452875;0.0016135
169;0.045962;0.002623
170;0.0464475;0.0004275
171;0.0469555;0.0010825
172;0.0472015;0.0003905
173;0.0479755;0.0011315
174;0.0518845;0.0003345
175;0.0530155;0.0005655
176;0.053037;0.000172
177;0.053098;0.001591
178;0.0558945;0.0001325
179;0.0560265;0.0003815
180;0.05607;0.00033
181;0.056077;0.000477
182;0.0561505;0.0003825
183;0.0569135;0.0010585
184;0.056975;0.018729
185;0.0574675;6.55e-05
186;0.05778;0.000278
187;0.0590345;0.0014415
188;0.0595525;0.0017115
189;0.0682865;0.0002805
190;0.068287;0.000322
191;0.0691375;0.0003475
192;0.069319;0.000497
193;0.070957;0.000234
194;0.07121;0.000342
195;0.076449;0.000782
196;0.0765055;0.0007655
197;0.079675;0.000378
198;0.0797525;0.0002115
199;0.079784;0.000446
200;0.0804095;0.0008875
201;0.0818115;0.0006385
202;0.082156;0.000339
203;0.082567;0.001138
204;0.0851235;0.0035045
205;0.0870385;0.0004935
206;0.087042;0.000796
207;0.087153;0.000817
208;0.0875745;0.0005325
209;0.087824;0.000472
210;0.088028;0.00062
211;0.0885945;0.0024095
212;0.0886515;0.0003625
213;0.0887985;0.0003645
214;0.0897115;0.0005525
215;0.0897765;0.0005355
216;0.091613;0.00078
217;0.0917375;0.0008565
218;0.0937925;0.0007245
219;0.0940715;0.0006755
220;0.1038265;0.0006715
221;0.10525;0.002458
222;0.1057215;0.0007505
223;0.105894;0.000838
224;0.109866;0.000568
225;0.1104455;0.0002105
226;0.110609;0.000775
227;0.110649;0.000884
228;0.1109995;0.0013265
229;0.111419;0.002129
230;0.113709;0.000325
231;0.115812;0.001624
232;0.1159965;0.0007805
233;0.117993;0.003062
234;0.132782;0.044965
235;0.1378585;0.0013985
236;0.1383035;0.0017785
237;0.1399885;0.0017265
238;0.1416005;0.0021155
239;0.1429805;0.0008835
240;0.1468505;0.0044405
241;0.1529945;0.0013265
242;0.1538545;0.0015385
243;0.160206;0.000433
244;0.1609;0.000616
245;0.1612185;0.0010285
246;0.164265;0.004347
