"##features#size#min";"##characteristics#gpu_only#center";"##characteristics#gpu_only#halfrange"
1;0.000261;4e-06
2;0.0002645;7.5e-06
3;0.0002975;7.5e-06
4;0.0003025;9.5e-06
5;0.0003025;5.5e-06
6;0.0003065;8.5e-06
7;0.0003175;2.5e-06
8;0.0003205;8.5e-06
9;0.0003275;9.5e-06
10;0.0003285;6.5e-06
11;0.0003375;6.5e-06
12;0.000344;9e-06
13;0.0003575;9.5e-06
14;0.000358;1e-05
15;0.000362;6e-06
16;0.000363;1e-05
17;0.0003645;8.5e-06
18;0.000365;9e-06
19;0.000366;8e-06
20;0.0003665;8.5e-06
21;0.0003685;9.5e-06
22;0.000371;8e-06
23;0.000372;4e-06
24;0.000372;8e-06
25;0.0003725;3.5e-06
26;0.000374;1.2e-05
27;0.000376;9e-06
28;0.0003825;3.5e-06
29;0.0003915;1.05e-05
30;0.000393;6e-06
31;0.0003935;9.5e-06
32;0.000395;1.2e-05
33;0.000397;3e-06
34;0.0003975;5.5e-06
35;0.0003995;6.5e-06
36;0.0004;5e-06
37;0.000404;8e-06
38;0.000408;9e-06
39;0.00041;6e-06
40;0.00041;9e-06
41;0.000438;6e-06
42;0.000439;6e-06
43;0.0004415;1.35e-05
44;0.0004415;9.5e-06
45;0.000466;1.3e-05
46;0.000467;1.2e-05
47;0.00052;6e-06
48;0.0005275;1.35e-05
49;0.000594;1.3e-05
50;0.0006005;5.5e-06
51;0.000611;1.6e-05
52;0.0006195;1.35e-05
53;0.000625;2e-05
54;0.000639;1.7e-05
55;0.0006475;1.35e-05
56;0.000649;2.1e-05
57;0.000677;1.2e-05
58;0.0006795;1.95e-05
59;0.0007075;1.55e-05
60;0.000714;8e-06
61;0.0007145;7.5e-06
62;0.0007165;1.35e-05
63;0.0007195;2.05e-05
64;0.0007225;1.75e-05
65;0.000725;1.3e-05
66;0.000733;1.3e-05
67;0.0007385;2.05e-05
68;0.00074;1.8e-05
69;0.000742;1.5e-05
70;0.0007425;1.55e-05
71;0.000746;2.5e-05
72;0.0007465;1.25e-05
73;0.000747;6e-06
74;0.000747;2.4e-05
75;0.0007785;1.05e-05
76;0.0007805;1.95e-05
77;0.0007835;8.5e-06
78;0.000784;1.8e-05
79;0.0007865;1.45e-05
80;0.0007875;1.65e-05
81;0.0007935;2.25e-05
82;0.0007945;2.05e-05
83;0.000805;2.4e-05
84;0.0008055;2.15e-05
85;0.0008065;1.65e-05
86;0.000812;1.1e-05
87;0.000859;7e-06
88;0.000872;1.6e-05
89;0.0008745;1.15e-05
90;0.0008745;3.45e-05
91;0.0009185;1.45e-05
92;0.000961;3.5e-05
93;0.003968;2.7e-05
94;0.003995;1.9e-05
95;0.0045105;4.45e-05
96;0.00454;2.2e-05
97;0.0045995;2.55e-05
98;0.0046035;3.35e-05
99;0.004814;2e-05
100;0.0048165;3.85e-05
101;0.0050605;2.05e-05
102;0.005079;1.1e-05
103;0.0052305;1.25e-05
104;0.0052415;3.35e-05
