"##features#size#min";"##characteristics#gpu_copy#center";"##characteristics#gpu_copy#halfrange"
1;0.0018195;0.0002155
2;0.0022195;0.0001215
3;0.002327;0.000119
4;0.0023545;0.0002905
5;0.00239;0.000307
6;0.0024615;0.0004115
7;0.002488;0.000228
8;0.0026715;0.0001955
9;0.002678;0.000294
10;0.002719;0.000372
11;0.002832;0.000335
12;0.0028675;0.0003505
13;0.0030885;0.0005145
14;0.003151;0.000372
15;0.003155;0.000448
16;0.0033085;0.0004855
17;0.003335;0.000414
18;0.003348;0.000316
19;0.003355;0.000215
20;0.0033825;0.0004565
21;0.0036675;0.0006325
22;0.0037485;0.0006755
23;0.00382;0.00048
24;0.0038265;0.0006045
25;0.0041915;0.0007385
26;0.0042205;0.0011435
27;0.004309;0.000768
28;0.004484;0.000555
29;0.004508;0.000643
30;0.00453;0.000549
31;0.004798;0.000757
32;0.0048105;0.0013855
33;0.007155;0.001255
34;0.0073615;9.05e-05
35;0.007379;0.001352
36;0.007459;0.000321
37;0.0074905;0.0003235
38;0.0077115;0.0003355
39;0.007829;0.000454
40;0.0079345;0.0004695
41;0.008028;0.000327
42;0.0082515;0.0003635
43;0.0083125;0.0004045
44;0.008332;0.001199
45;0.008389;0.000296
46;0.008422;0.001636
47;0.008536;0.000945
48;0.008588;0.001453
49;0.0085885;0.0011205
50;0.0086525;0.0001455
51;0.008748;0.001258
52;0.0087505;0.0012615
53;0.008819;0.000469
54;0.0088465;0.0016245
55;0.0088485;0.0005895
56;0.0089615;0.0013045
57;0.008976;0.000661
58;0.009071;0.000704
59;0.0091275;0.0013855
60;0.0091405;0.0010805
61;0.009151;0.001498
62;0.0095035;0.0005405
63;0.009582;0.000617
64;0.0098615;0.0007665
65;0.0099295;0.0008785
66;0.009978;0.000715
67;0.0100465;0.0008535
68;0.0101485;0.0015355
69;0.0101515;0.0017945
70;0.010201;0.001043
71;0.010475;0.001396
72;0.010547;0.001202
73;0.0110175;0.0011755
74;0.011041;0.001846
75;0.0111105;0.0011375
76;0.0111625;0.0019995
77;0.0113865;0.0015875
78;0.0114555;0.0017765
79;0.011636;0.000978
80;0.011888;0.000571
81;0.012181;0.00087
82;0.012302;0.000404
83;0.01232;0.001839
84;0.012612;0.001393
85;0.013011;0.001593
86;0.0130565;0.0001765
87;0.013093;0.000398
88;0.0134095;0.0002775
89;0.013461;0.002308
90;0.0134825;0.0003585
91;0.0134855;0.0018615
92;0.0135015;0.0006605
93;0.0136005;0.0002695
94;0.0136025;0.0017195
95;0.013619;0.000397
96;0.0136895;0.0019415
97;0.0136975;0.0007665
98;0.013703;0.001698
99;0.0137425;0.0014105
100;0.01383;0.002065
101;0.01389;0.00044
102;0.0140705;0.0013155
103;0.014213;0.000852
104;0.014265;0.001611
105;0.0142675;0.0014195
106;0.014361;0.000482
107;0.0143815;0.0013165
108;0.014417;0.001285
109;0.0144265;0.0004375
110;0.014513;0.002688
111;0.014532;0.000253
112;0.014604;0.000506
113;0.014687;0.001732
114;0.01478;0.001564
115;0.01489;0.000827
116;0.0149585;0.0021185
117;0.014961;0.000667
118;0.014982;0.000782
119;0.01518;0.001239
120;0.01519;0.001844
121;0.015326;0.001521
122;0.015341;0.000738
123;0.015347;0.00167
124;0.015559;0.001542
125;0.015801;0.002075
126;0.015884;0.000823
127;0.0161745;0.0026475
128;0.016193;0.001608
129;0.0161935;0.0020685
130;0.0163085;0.0017955
131;0.0164175;0.0019545
132;0.0167365;0.0013535
133;0.016738;0.002278
134;0.0168945;0.0021645
135;0.017178;0.002327
136;0.017242;0.002071
137;0.0172805;0.0010595
138;0.0174675;0.0019675
139;0.017818;0.001085
140;0.0179315;0.0020325
141;0.018053;0.002246
142;0.0180825;0.0018865
143;0.01857;0.001541
144;0.018678;0.002008
145;0.0187755;0.0006945
146;0.0190765;0.0019185
147;0.0191545;0.0032945
148;0.019233;0.0022
149;0.019342;0.001375
150;0.0194355;0.0010395
151;0.0196525;0.0013575
152;0.019685;0.001396
153;0.0199515;0.0015305
154;0.0200825;0.0017335
155;0.02069;0.001504
156;0.0207535;0.0004055
157;0.020951;0.001319
158;0.02119;0.001959
159;0.021331;0.002196
160;0.0214745;0.0010045
161;0.0215075;0.0016005
162;0.0219045;0.0013165
163;0.0220275;0.0019705
164;0.0223445;0.0013595
165;0.0223845;0.0012355
166;0.0225245;0.0011625
167;0.0226445;0.0015345
168;0.0227115;0.0001765
169;0.023068;0.001616
170;0.0232405;0.0015205
171;0.0234985;0.0015085
172;0.023744;0.00066
173;0.0239885;0.0023865
174;0.024035;0.000103
175;0.024235;0.001625
176;0.0245625;0.0002215
177;0.024593;0.001869
178;0.02464;0.001063
179;0.0247865;0.0018675
180;0.024832;0.001369
181;0.024972;0.000223
182;0.025025;0.000484
183;0.0251455;0.0006385
184;0.025535;0.000483
185;0.0255515;0.0010975
186;0.0255765;0.0004555
187;0.0256815;0.0014865
188;0.02605;0.001733
189;0.0260555;0.0012515
190;0.026284;0.000568
191;0.0263595;0.0004525
192;0.026453;0.000194
193;0.026513;0.000717
194;0.0266515;0.0004845
195;0.027015;0.001958
196;0.0270975;0.0001935
197;0.027147;0.001402
198;0.027246;0.001876
199;0.027296;0.001251
200;0.0273235;0.0019085
201;0.0274215;0.0006855
202;0.02854;0.001585
203;0.0292435;0.0018035
204;0.029804;0.001765
205;0.0304175;0.0007195
206;0.0308885;0.0018085
207;0.031052;0.001216
208;0.031071;0.001192
209;0.0312335;0.0005825
210;0.031432;0.001393
211;0.03321;0.001429
212;0.0332965;0.0015075
213;0.034015;0.001407
214;0.0340715;0.0015195
215;0.0346545;0.0016735
216;0.034723;0.001891
217;0.035088;0.00069
218;0.035329;0.000914
219;0.0356375;0.0016745
220;0.035737;0.001691
221;0.0363015;0.0020705
222;0.0370805;0.0014145
223;0.03835;0.000923
224;0.039052;0.001316
225;0.0391285;0.0018305
226;0.0393035;0.0015035
227;0.039694;0.001997
228;0.0400305;0.0015715
229;0.040617;0.000518
230;0.042121;0.003134
231;0.042983;0.000378
232;0.043313;0.000884
233;0.0441885;0.0007675
234;0.0451345;0.0004885
235;0.045481;0.002199
236;0.046391;0.000679
237;0.046672;0.000576
238;0.0470135;0.0005465
239;0.047258;0.001614
240;0.0473745;0.0003905
241;0.0477405;0.0001935
242;0.0480195;0.0005015
243;0.0486405;0.0004405
244;0.0488785;0.0003355
245;0.0490565;0.0006255
246;0.049498;0.000665
247;0.049937;0.000355
248;0.0505465;0.0005285
249;0.051062;0.001983
250;0.0514675;0.0015445
251;0.051477;0.000129
252;0.051801;0.000812
253;0.0520775;0.0002595
254;0.0522415;0.0019825
255;0.052891;0.001264
256;0.0538365;0.0006955
257;0.0543375;0.0017085
258;0.0548315;0.0006445
259;0.0564675;0.0016915
260;0.05696;0.001174
261;0.0573735;0.0019965
262;0.0577925;0.0015275
263;0.0581825;0.0022255
264;0.058636;0.001401
265;0.058928;0.0014
266;0.0591115;0.0021385
267;0.061965;0.00067
268;0.062093;0.000611
269;0.0622045;0.0015775
270;0.06226;0.00135
271;0.0637065;0.0013815
272;0.064598;0.001735
273;0.0659765;0.0013685
274;0.066814;0.001702
275;0.068573;0.001201
276;0.071702;0.001473

